NAME                 Cpus_allowed_list
--------------------------------------
ghost                0-7
gh_PhantomTh000      0
gh_PlainLogWork      0-7
gh_DebugCounter      0-7
gh_PlainLogWork      0-7
gh_AsiMainNT000      0-7
gh_AsiMainNT001      0-7
gh_AsiMainNT002      0-7
gh_AsiMainNT003      0-7
gh_AsiMainNT004      0-7
gh_AsiBackNT000      0-7
gh_AsiSyncTF000      0-7
gh_AsiSyncTF001      0-7
gh_AsiSyncTF002      0-7
gh_AsiSyncTF003      0-7
gh_AsiSyncTF004      0-7
gh_AsiSyncTF005      0-7
gh_AsiSyncTF006      0-7
gh_AsiSyncTF007      0-7
gh_AsiSyncTF008      0-7
gh_AsiSyncTF009      0-7
gh_AsiSyncTF010      0-7
gh_AsiSyncTF011      0-7
gh_AsiSyncTF012      0-7
gh_AsiSyncTF013      0-7
gh_AsiSyncTF014      0-7
gh_AsiSyncTF015      0-7
gh_AsiSyncTF016      0-7
gh_AsiSyncTF017      0-7
gh_AsiSyncTF018      0-7
gh_AsiSyncTF019      0-7
gh_aio_start000      0-7
gh_aio_start001      0-7
gh_aio_start002      0-7
gh_aio_start003      0-7
gh_keySignin000      0-7
gh_keySignin001      0-7
gh_keySignin002      0-7
gh_keySignin003      0-7
gh_keySignin004      0-7
gh_keySignin005      0-7
gh_keySignin006      0-7
gh_keySignin007      0-7
gh_zlibCompr000      0-7
gh_zlibCompr001      0-7
gh_zlibCompr002      0-7
gh_zlibCompr003      0-7
gh_zlibCompr004      0-7
gh_zlibCompr005      0-7
gh_zlibCompr006      0-7
gh_zlibCompr007      0-7
gh_zlibUncom000      0-7
gh_zlibUncom001      0-7
gh_zlibUncom002      0-7
gh_zlibUncom003      0-7
gh_zlibUncom004      0-7
gh_zlibUncom005      0-7
gh_zlibUncom006      0-7
gh_zlibUncom007      0-7
gh_brotliDec000      0-7
gh_brotliDec001      0-7
gh_brotliDec002      0-7
gh_brotliDec003      0-7
gh_brotliDec004      0-7
gh_brotliDec005      0-7
gh_brotliDec006      0-7
gh_brotliDec007      0-7
gh_brotliCom000      0-7
gh_brotliCom001      0-7
